url,Property ID,Price,State of the property,Availability,Number of bedrooms,Livable surface,Furnished,Attic,Garage,Number of garages,Kitchen equipment,Kitchen type,Number of bathrooms,Number of showers,Number of toilets,Type of heating,Type of glazing,Elevator,Number of facades,Garden,Surface garden,Terrace,Surface terrace,Total land surface,Swimming pool
https://immovlan.be/en/detail/apartment/for-sale/1490/court-saint-etienne/vbd29732,vbd29732,269 000 €,New,,1,66 m²,No,,,,Super equipped,,1,,1,,Double glass,Yes,,No,,Yes,9 m²,,No
https://immovlan.be/en/detail/commercial-building/for-sale/3040/huldenberg/rbu47897,rbu47897,450 000 €,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/3920/lommel/rbu66640,rbu66640,384 500 €,New,Immediately,3,124 m²,No,,,,,,1,,1,,,Yes,2,No,,Yes,18 m²,,
https://immovlan.be/en/detail/apartment/for-sale/6880/bertrix/vbd22637,vbd22637,,,Immediately,1,76 m²,No,,,,Fully equipped,Western kitchen,1,,1,Electricity,Double glass,No,,No,,No,,,No
https://immovlan.be/en/detail/penthouse/for-sale/3500/hasselt/rbe39043,rbe39043,618 000 €,New,,2,169 m²,,,Yes,,,,2,,,,,Yes,,Yes,,Yes,66 m²,,
https://immovlan.be/en/detail/apartment/for-sale/7000/mons/vbb60663,vbb60663,285 000 €,New,,2,84 m²,,,Yes,,,,,1,1,,,,,Yes,,Yes,6 m²,,
https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbd49571,vbd49571,299 000 €,Excellent,,1,74 m²,,,,,Super equipped,,1,,1,Gas,Double glass,Yes,3,No,,No,,,No
https://immovlan.be/en/detail/residence/for-sale/8531/bavikhove/rbu65985,rbu65985,295 000 €,Fully renovated,On contract,3,152 m²,No,,Yes,1,Super equipped,,1,1,1,Gas,Double glass,No,3,Yes,234 m²,Yes,,386 m²,No
https://immovlan.be/en/detail/residence/for-sale/8800/roeselare/rbu66915,rbu66915,342 150 €,,,3,141 m²,,,,,,,,,,,,,3,No,,No,,510 m²,
https://immovlan.be/en/detail/apartment/for-sale/1490/court-saint-etienne/vbd29721,vbd29721,324 000 €,New,,2,90 m²,No,,,,Super equipped,,1,,1,,Double glass,Yes,,No,,Yes,9 m²,,No
https://immovlan.be/en/detail/land/for-sale/9920/lovendegem/rbu63086,rbu63086,249 000 €,,On contract,,,,,,,,,,,,,,,,,,,,686 m²,
https://immovlan.be/en/detail/residence/for-sale/1750/lennik/rbt09754,rbt09754,485 608 €,,,4,191 m²,No,,,,Super equipped,,2,,3,,Double glass,No,2,Yes,,Yes,27 m²,,No
https://immovlan.be/en/detail/commercial-building/for-sale/1160/oudergem/vbd33531,vbd33531,45 000 €,Excellent,,,,,,,,,,,,1,,Double glass,,,,,,,,
